official_name	occurrences	name_type	capitalized_case
(ESTRADIOL TRANSDERMAL SYSTEM)	1	generic	(Estradiol Transdermal System)
(SALINE)	1	generic	(Saline)
(SUMATRIPTAN INJECTION) 6MG/0.5ML, AUTO-INJECTOR	1	generic	(Sumatriptan Injection) 6Mg/0.5Ml, Auto-Injector
(WHOLE PLANT)	1	generic	(Whole Plant)
0XYGEN	1	generic	0Xygen
1.1% SODIUM FLUORIDE	1	generic	1.1% Sodium Fluoride
1.1% SODIUM FLUORIDE PRESCRIPTION DENTAL CREAM	1	generic	1.1% Sodium Fluoride Prescription Dental Cream
12 Hour Nasal	1	brand	12 Hour Nasal
12 Hour Original Nasal Decongestant	1	brand	12 Hour Original Nasal Decongestant
20/20 Topical Anesthetic	1	brand	20/20 Topical Anesthetic
4 Way Fast Acting	1	brand	4 Way Fast Acting
4 Way Moisturizing Relief	1	brand	4 Way Moisturizing Relief
4% SODIUM BICARBONATE ADDITIVE SOLUTION	1	generic	4% Sodium Bicarbonate Additive Solution
60-Second Fluoride Cherry	1	brand	60-Second Fluoride Cherry
701 DIEDA ZHENGTONG YAOGAO MEDICATED PLASTER	1	brand	701 Dieda Zhengtong Yaogao Medicated Plaster
A AND D OINTMENT	2	generic	A And D Ointment
A-HYDROCORT	1	brand	A-Hydrocort
A-Med brand First Aid Eye and Skin-Rinse	1	brand	A-Med Brand First Aid Eye And Skin-Rinse
A-METHAPRED	1	brand	A-Methapred
A. Dust	1	brand	A. Dust
ABACAVIR SULFATE	9	generic	Abacavir Sulfate
ABATACEPT	1	generic	Abatacept
ABCIXIMAB	1	generic	Abciximab
ABELCET	1	brand	Abelcet
ABILIFY	25	brand	Abilify
ABRAXANE	1	brand	Abraxane
Abstral	2	brand	Abstral
ACACIA	8	generic	Acacia
ACACIA POLLEN	1	generic	Acacia Pollen
ACARBOSE	8	generic	Acarbose
ACD A	1	brand	Acd A
ACD Blood-Pack Units (PL 146 Plastic)	1	brand	Acd Blood-Pack Units (Pl 146 Plastic)
ACD SOLUTION MODIFIED	1	generic	Acd Solution Modified
ACD-A	3	brand	Acd-A
ACEBUTOLOL HYDROCHLORIDE	4	generic	Acebutolol Hydrochloride
